V1,age,gender,sexuality,ethnicity,race,MEMI01,MEMI02,MEMI03,MEMI04,MEMI05,MEMI06,MEMI07,MEMI08,MEMI09,MEMI10,MEMI11,MEMI12,MEMI13,MEMI14,MEMI15,MEMI16,MEMI17,MEMI18,MEMI19,MEMI20,MEMI21,MEMI22,MEMI23,MEMI24,MEMI25,MEMI26,MEMI27,MEMI28,MEMI29,MEMI30,MEMI31,MEMI32,health_motiv,environment_motiv,animal_motiv,neuroticism,extraversion,openness,agreeableness,conscientiousness,neg_affect,detachment,antagonism,disinhibition,psychoticism,meat,centrality,private_reg,public_reg,out_grp_reg,prosoc_motiv,person_motiv,moral_motiv,strictness,agency,communion,int_probs,MEMInatural,MEMInormal,MEMInecessary,MEMInice,FourNS
3,20,2,1,2,3,4,7,6,7,4,3,6,7,4,3,3,5,3,3,3,5,2,4,4,6,3,4,2,7,3,4,4,6,4,2,2,2,6,5.4,5.66666666666667,3.5,2.79166666666667,2.70833333333333,3.875,3.41666666666667,2.8,2.2,2.2,1.4,1.8,1,2.6,3.33333333333333,5,6.14285714285714,2.33333333333333,2.66666666666667,1.33333333333333,1,3.5,6.66666666666667,.202424171873127,3.5,4.2,4.4,5.2,3.9375
4,21,2,1,2,3,1,4,1,4,4,1,1,1,7,1,1,1,1,1,1,1,1,1,1,4,1,3,1,5,5,1,1,4,1,1,1,1,7,5.8,4,2.29166666666667,3.66666666666667,3.91666666666667,3.91666666666667,4.375,1.8,1.8,1.6,1,3.2,1,4.6,4,6.66666666666667,7,5.33333333333333,7,4,1.66666666666667,3.5,8.33333333333333,-.441247306260937,1,1,2,2.8,2.875
5,19,2,1,2,3,3,4,5,5,5,4,6,6,6,6,7,6,6,4,6,6,5,5,7,7,5,6,4,6,3,5,5,5,5,6,6,6,5.25,7,1.83333333333333,2.58333333333333,3.16666666666667,3.29166666666667,3.16666666666667,3.5,2.6,2.6,3,1.4,3,1,2,4.33333333333333,5,6.57142857142857,1,4.66666666666667,1,1.66666666666667,5.16666666666667,5.5,.398290384967164,4,5.6,4.8,5.8,5.125
6,20,2,1,2,3,3,4,5,4,3,2,3,4,2,2,2,4,2,2,3,3,3,4,5,5,2,4,2,6,3,3,4,5,4,3,3,3,4.25,4.8,5.16666666666667,3.54166666666667,3.58333333333333,3.45833333333333,4,3.375,2.4,1,1.4,3,1.8,1,3.6,3.66666666666667,5,4.85714285714286,3,3.33333333333333,2.33333333333333,2.66666666666667,4.16666666666667,7.16666666666667,-.560501152048635,2.5,3.6,3.4,4.2,3.875
7,22,1,1,2,1,4,5,4,4,4,3,4,5,4,4,4,4,5,5,3,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,5,4,4,4,4,3,3,2.79166666666667,2.875,3.125,3,2.8,2.8,2.4,2.6,0,4.8,4.33333333333333,3.66666666666667,4,4.16666666666667,4.33333333333333,4.66666666666667,3.33333333333333,5.16666666666667,5.33333333333333,1.68455821487164,4,4,4.4,4,4
8,20,2,1,2,3,3,5,1,6,4,3,3,5,2,1,1,3,1,4,3,2,2,3,5,6,3,5,2,7,3,5,4,6,2,2,1,2,6,4.6,5,2.58333333333333,2.875,2.625,4,3.625,1.2,1.6,1,1.2,1.6,0,3.8,1.33333333333333,5,7,4.66666666666667,5.66666666666667,2.66666666666667,3,2.83333333333333,7.5,-.767446849314651,3,2,4.4,4.6,2.5
9,20,2,1,2,3,3,3,1,5,4,3,2,6,1,4,6,5,1,1,1,6,4,4,2,5,2,4,2,6,2,3,4,7,5,3,3,7,4,4.4,4.83333333333333,3.45833333333333,2.54166666666667,3.33333333333333,3.91666666666667,3.83333333333333,2.2,2.2,1.6,2,2.4,1,1.4,1.66666666666667,5.33333333333333,5.85714285714286,1,4.66666666666667,1,3.66666666666667,4.66666666666667,8.83333333333333,.713175825818776,2.5,2.4,3,5.8,6.125
10,21,2,1,2,3,5,5,1,7,4,3,3,6,3,4,2,5,2,4,2,4,2,4,3,6,3,3,3,7,4,5,3,7,3,4,2,6,5,2.8,4.16666666666667,3.08333333333333,2.66666666666667,2.70833333333333,3.95833333333333,3.66666666666667,2.6,2.2,1.4,1.2,2.2,1,1,1,6.33333333333333,7,1,2,1,4,3.83333333333333,8.33333333333333,.641975897761264,4,2.2,4.2,6.2,5.0625
11,28,2,1,2,7,3,5,1,5,4,2,3,2,2,3,2,4,3,3,1,3,4,4,3,4,2,6,2,3,4,4,2,5,2,3,2,3,7,6.4,6.16666666666667,2.33333333333333,3.20833333333333,3.125,3.58333333333333,4.16666666666667,1.2,1.2,1,1,1,1,5.4,3.66666666666667,4,5,3.66666666666667,5.33333333333333,4.33333333333333,4.33333333333333,5.5,8.16666666666667,.0378795322818438,2.5,1.8,4.4,4.2,3.8125
12,23,2,1,2,3,4,7,1,7,7,1,7,4,4,4,6,5,4,7,1,7,4,5,6,7,3,5,7,4,5,7,4,5,4,4,1,4,7,5,5.5,3,3.95833333333333,3.45833333333333,3.29166666666667,3,2.8,1.6,2.6,2.8,2.4,1,7,7,2.33333333333333,7,4.16666666666667,6,5,2.33333333333333,5.66666666666667,6.16666666666667,-.290764259038092,3.5,2.8,6.2,5.6,4.875
